,Price
0,768.700012
1,762.130005
2,762.02002
3,782.52002
4,790.51001
5,785.309998
6,762.559998
7,754.02002
8,736.080017
9,758.48999
10,764.47998
11,771.22998
12,760.539978
13,769.200012
14,768.27002
15,760.98999
16,761.679993
17,768.23999
18,770.840027
19,758.039978
20,747.919983
21,750.5
22,762.52002
23,759.109985
24,771.190002
25,776.419983
26,789.289978
27,789.27002
28,796.099976
29,797.070007
30,797.849976
31,790.799988
32,794.200012
33,796.419983
34,794.559998
35,791.26001
36,789.909973
37,791.549988
38,785.049988
39,782.789978
40,771.820007
41,786.140015
42,786.900024
43,794.02002
44,806.150024
45,806.650024
46,804.789978
47,807.909973
48,806.359985
49,807.880005
50,804.609985
51,806.070007
52,802.174988
53,805.02002
54,819.309998
55,823.869995
56,835.669983
57,832.150024
58,823.309998
59,802.320007
60,796.789978
61,795.695007
62,798.530029
63,801.48999
64,801.340027
65,806.969971
66,808.380005
67,809.559998
68,813.669983
69,819.23999
70,820.450012
71,818.97998
72,824.159973
73,828.070007
74,831.659973
75,830.76001
76,831.330017
77,828.640015
78,829.280029
79,823.210022
80,835.23999
81,830.630005
82,829.080017
83,827.780029
84,831.909973
85,835.369995
86,838.679993
87,843.25
88,845.539978
89,845.619995
90,847.200012
91,848.780029
92,852.119995
93,848.400024
94,830.460022
95,829.590027
96,817.580017
97,814.429993
98,819.51001
99,820.919983
100,831.409973
101,831.5
102,829.559998
103,838.549988
104,834.570007
105,831.409973
106,827.880005
107,824.669983
108,824.72998
109,823.349976
110,824.320007
111,823.559998
112,837.169983
113,836.820007
114,838.210022
115,841.650024
116,843.190002
117,862.76001
118,872.299988
119,871.72998
120,874.25
121,905.960022
122,912.570007
123,916.440002
124,927.039978
125,931.659973
126,927.130005
127,934.299988
128,932.169983
129,928.780029
130,930.599976
131,932.219971
132,937.080017
133,943.0
134,919.619995
135,930.23999
136,934.01001
137,941.859985
138,948.820007
139,954.960022
140,969.539978
141,971.469971
142,975.880005
143,964.859985
144,966.950012
145,975.599976
146,983.679993
147,976.570007
148,980.940002
149,983.409973
150,949.830017
151,942.900024
152,953.400024
153,950.76001
154,942.309998
155,939.780029
156,957.369995
157,950.630005
158,959.450012
159,957.090027
160,965.590027
161,952.27002
162,927.330017
163,940.48999
164,917.789978
165,908.72998
166,898.700012
167,911.710022
168,906.690002
169,918.590027
170,928.799988
171,930.090027
172,943.830017
173,947.159973
174,955.98999
175,953.419983
176,965.400024
177,970.890015
178,968.150024
179,972.919983
180,980.340027
181,950.700012
182,947.799988
183,934.090027
184,941.530029
185,930.5
186,930.830017
187,930.390015
188,923.650024
189,927.960022
190,929.359985
191,926.789978
192,922.900024
193,907.23999
194,914.390015
195,922.669983
196,922.219971
197,926.960022
198,910.97998
199,910.669983
200,906.659973
201,924.690002
202,927.0
203,921.280029
204,915.890015
205,913.809998
206,921.289978
207,929.570007
208,939.330017
209,937.340027
210,928.450012
211,927.809998
212,935.950012
213,926.5
214,929.080017
215,932.070007
216,935.090027
217,925.109985
218,920.289978
219,915.0
220,921.809998
221,931.580017
222,932.450012
223,928.530029
224,920.969971
225,924.859985
226,944.48999
227,949.5
228,959.109985
229,953.27002
230,957.789978
231,951.679993
232,969.960022
233,978.890015
234,977.0
235,972.599976
236,989.25
237,987.830017
238,989.679993
239,992.0
240,992.179993
241,992.809998
242,984.450012
243,988.200012
244,968.450012
245,970.539978
246,973.330017
247,972.559998
248,1019.27002
249,1017.109985
250,1016.640015
251,1025.5
